pk_code_agence,nom_agence,reseau_agence,nom_ville,agence_destinataire
106,MBALNGONG,YAOUNDE SUD,Yaoundé,MBALNGONG
107,BAFANG,OUEST,Bafang,BAFANG
108,MBALLA II,YAOUNDE EST,Yaoundé,MBALLA II
109,LOGBABA,DOUALA NORD,Douala,LOGBABA
110,MBALMAYO,YAOUNDE SUD,Mbalmayo,MBALMAYO
111,BONASSAMA,DOUALA NORD,Douala,BONASSAMA
112,NKOULOULOUN,DOUALA SUD,Douala,NKOULOULOUN
113,SHELL NEWBELL,DOUALA SUD,Douala,SHELL NEWBELL
114,BAFIA,YAOUNDE EST,Bafia,BAFIA
115,ROUMDE ADJIA,NORD,Garoua,ROUMDE ADJIA
116,MABANDA,DOUALA NORD,Douala,MABANDA
117,BUREAU DE BEIJING,AUTRE RESEAU,Non défini,BUREAU DE BEIJING
119,autre,AUTRE RESEAU,Non défini,autre
149,autre,AUTRE RESEAU,Non défini,autre
80001,DIR CONTROLE PERMANENT DES OP,AUTRE RESEAU,Yaoundé,DIR CONTROLE PERMANENT DES OP
80002,DIRECTION DE LA CONFORMITE,AUTRE RESEAU,Yaoundé,DIRECTION DE LA CONFORMITE
80003,DIRECTION DES RISQUES,AUTRE RESEAU,Yaoundé,DIRECTION DES RISQUES
80004,DIR DE L'AUDIT ETINSPECTION,AUTRE RESEAU,Yaoundé,DIR DE L'AUDIT ETINSPECTION
80005,DIR MARCHES ET SOLUTION CLIENT,AUTRE RESEAU,Yaoundé,DIR MARCHES ET SOLUTION CLIENT
80006,DIR CREDIT ET ENGAGEMENTS,AUTRE RESEAU,Yaoundé,DIR CREDIT ET ENGAGEMENTS
80007,DIR DES RESSOURCES HUMAINES,AUTRE RESEAU,Yaoundé,DIR DES RESSOURCES HUMAINES
80008,DIR FINANCIERE ET TRESORERIE,AUTRE RESEAU,Yaoundé,DIR FINANCIERE ET TRESORERIE
80009,DIRECTION JURIDIQUE,AUTRE RESEAU,Yaoundé,DIRECTION JURIDIQUE
80010,DIR SERVICES BANCAIRES,AUTRE RESEAU,Yaoundé,DIR SERVICES BANCAIRES
80011,DIR DES SYSTEMES D'INFORMATION,AUTRE RESEAU,Yaoundé,DIR DES SYSTEMES D'INFORMATION
80012,SERVICES DE LA PRESIDENCE,AUTRE RESEAU,Yaoundé,SERVICES DE LA PRESIDENCE
80013,DEP MOY GENERAUX ET PATRIMOINE,AUTRE RESEAU,Yaoundé,DEP MOY GENERAUX ET PATRIMOINE
80014,DEPARTEMENT QUALITE,AUTRE RESEAU,Yaoundé,DEPARTEMENT QUALITE
90001,YAOUNDE EST,YAOUNDE EST,Non défini,YAOUNDE EST
90002,YAOUNDE NORD ANCIEN,YAOUNDE NORD ANCIEN,Non défini,DIRECTION GENERALE
90003,YAOUNDE SUD,YAOUNDE SUD,Non défini,YAOUNDE SUD
90004,DOUALA SUD,DOUALA SUD,Non défini,DOUALA SUD
90005,DOUALA NORD,DOUALA NORD,Non défini,DOUALA NORD
90006,DOUALA SUD ANCIEN,DOUALA SUD ANCIEN,Non défini,DOUALA SUD
90007,OUEST,OUEST,Non défini,OUEST
90008,NORD,NORD,Non défini,NORD
90009,EST ANCIEN,EST ANCIEN,Non défini,DIRECTION GENERALE
90010,FENETRE ISLAMIQUE,FENETRE ISLAMIQUE,Non défini,FENETRE ISLAMIQUE
90011,AUTRE RESEAU,AUTRE RESEAU,Yaoundé,AUTRE RESEAU
